SUBJECT.NAME	PROJECT.NAME	PHENOTYPE.NAME	Obesity.BMI	Obesity.BodyLength	Date.Month	Date.Year	Date.Season	Date.StudyStartSeconds	Date.Hour	Date.StudyDay	GENDER	EndNormalBW	CoatColour	CageDensity	Litter
A048022611	HS_mouse	Obesity	-0.455861618864098	8.4	4	2003	spring	8467200	0	99	M	26	dark.brown	4	1
A048022858	HS_mouse	Obesity	-0.618288603145986	8.5	4	2003	spring	6652800	0	78	F	20.1	black	6	1
A048023355	HS_mouse	Obesity	-0.512347598844462	7.8	2	2003	winter	3024000	0	36	F	21.8	black	5	2
A048023581	HS_mouse	Obesity	-0.532501990499834	8.5	1	2003	winter	604800	0	8	M	NA	light.brown	6	1
A048028854	HS_mouse	Obesity	-0.51376048439828	8.2	7	2003	summer	16329600	0	190	F	20.4	albino	4	2
A048028864	HS_mouse	Obesity	-0.390859976148793	6.8	5	2003	spring	10281600	0	120	M	22.1	chocolate	4	1
A048028871	HS_mouse	Obesity	-0.455656300621807	7.5	3	2003	spring	4838400	0	57	F	24.3	chocolate	4	1
A048029086	HS_mouse	Obesity	-0.444771157336776	7.5	7	2003	summer	14515200	0	169	F	23	light.brown	5	1
A048029629	HS_mouse	Obesity	-0.493649609848758	7.3	3	2003	spring	3628800	0	43	F	19.7	dark.brown	5	1
A048030369	HS_mouse	Obesity	-0.350007478598353	7.6	5	2003	spring	9676800	0	113	M	27.7	albino	6	1
A048030529	HS_mouse	Obesity	-0.509514783722356	8	1	2003	winter	604800	0	8	M	NA	light.brown	6	1
A048031067	HS_mouse	Obesity	-0.478008475624556	7	3	2003	spring	3628800	0	43	F	18.6	chocolate	6	2
A048031101	HS_mouse	Obesity	-0.490623725123309	8.4	5	2003	spring	9676800	0	113	M	NA	chocolate	6	1
A048031355	HS_mouse	Obesity	-0.527426373031058	8	2	2003	winter	2419200	0	29	F	21.3	black	4	1
A048031545	HS_mouse	Obesity	-0.488798955708062	7	4	2003	spring	7862400	0	92	F	17.4	chocolate	4	6
A048031769	HS_mouse	Obesity	-0.436521716496434	7.7	1	2003	winter	604800	0	8	M	NA	chocolate	6	1
A048031794	HS_mouse	Obesity	-0.555786098230934	8.2	1	2003	winter	0	0	1	F	NA	black	5	1
A048031822	HS_mouse	Obesity	-0.485181536506704	8.6	3	2003	spring	5443200	0	64	M	29.7	light.brown	5	4
A048032099	HS_mouse	Obesity	-0.49651964617172	7.7	1	2003	winter	-604800	0	-6	M	22.7	black	4	1
A048032883	HS_mouse	Obesity	-0.424244023036039	6.6	5	2003	spring	9676800	0	113	M	19.9	dark.brown	5	1
A048033069	HS_mouse	Obesity	-0.510576734848279	7.4	2	2003	winter	2419200	0	29	M	22	chocolate	5	2
A048033354	HS_mouse	Obesity	-0.538573733806856	7.2	2	2003	winter	1209600	0	15	F	16.1	chocolate	5	1
A048033618	HS_mouse	Obesity	-0.505216176701545	8.1	2	2003	winter	1814400	0	22	M	24	light.brown	5	2
A048034836	HS_mouse	Obesity	-0.496387475450735	7.8	2	2003	winter	1814400	0	22	M	23.7	silverado	5	2
A048035291	HS_mouse	Obesity	-0.452096695129257	7.1	3	2003	spring	5443200	0	64	F	21.3	black	3	2
A048035543	HS_mouse	Obesity	-0.508163627335427	7.7	4	2003	spring	6652800	0	78	M	24.5	chocolate	4	2
A048035553	HS_mouse	Obesity	-0.501119573117699	7.1	3	2003	spring	4838400	0	57	F	19.1	albino	4	3
A048035776	HS_mouse	Obesity	-0.526275835057995	7.4	4	2003	spring	6652800	0	78	F	20.3	black	4	1
A048036063	HS_mouse	Obesity	-0.434524956740359	7.7	5	2003	spring	9072000	0	106	M	21.9	black	3	2
A048036259	HS_mouse	Obesity	-0.539008245580873	8	3	2003	spring	5443200	0	64	F	21.2	light.brown	4	3
A048037297	HS_mouse	Obesity	-0.519673605405126	7.5	2	2003	winter	1209600	0	15	M	18.9	black	7	1
A048038018	HS_mouse	Obesity	-0.516500581628054	7.9	2	2003	winter	2419200	0	29	F	23.4	black	4	1
A048040045	HS_mouse	Obesity	-0.519934364633556	7	4	2003	spring	7862400	0	92	F	17.3	dark.brown	5	1
A048040526	HS_mouse	Obesity	-0.548660758473412	7.8	5	2003	spring	9072000	0	106	F	19.9	chocolate	6	1
A048041122	HS_mouse	Obesity	-0.444702071082357	6.9	1	2003	winter	-518400	0	-5	F	19.1	chocolate	6	1
A048041606	HS_mouse	Obesity	-0.472067776059877	7.1	3	2003	spring	3628800	0	43	F	18.9	light.brown	5	1
A048041617	HS_mouse	Obesity	-0.403559424176188	6.6	5	2003	spring	9072000	0	106	M	NA	silverado	3	1
A048042298	HS_mouse	Obesity	-0.531570145796273	6.9	4	2003	spring	8467200	0	99	F	15.8	dark.brown	5	2
A048042578	HS_mouse	Obesity	-0.482130327559025	8.3	4	2003	spring	7862400	0	92	M	26.5	chocolate	5	2
A048042626	HS_mouse	Obesity	-0.513653918199776	7.6	5	2003	spring	9072000	0	106	F	19.8	albino	5	2
A048042870	HS_mouse	Obesity	-0.504166298438653	8.4	3	2003	spring	3628800	0	43	M	26.3	chocolate	4	2
A048043004	HS_mouse	Obesity	-0.421700684023379	6.7	4	2003	spring	8467200	0	99	F	20.9	chocolate	4	1
A048043525	HS_mouse	Obesity	-0.480993147960472	7.8	2	2003	winter	1209600	0	15	F	22.5	light.brown	7	1
A048043551	HS_mouse	Obesity	-0.517126416391246	7.5	2	2003	winter	1209600	0	15	F	20.7	black	7	1
A048043833	HS_mouse	Obesity	-0.459164129947547	8.5	2	2003	winter	3024000	0	36	M	27	black	4	2
A048044830	HS_mouse	Obesity	-0.557507201905658	7.6	1	2003	winter	0	0	1	F	17.7	chocolate	7	1
A048045845	HS_mouse	Obesity	-0.478280920246901	7.5	4	2003	spring	6652800	0	78	M	23.6	silverado	4	1
A048047040	HS_mouse	Obesity	-0.442823386326038	7.2	3	2003	spring	4233600	0	50	F	19.9	light.brown	6	1
A048047094	HS_mouse	Obesity	-0.401729603092759	6.7	3	2003	spring	3628800	0	43	F	18.9	chocolate	6	2
A048047298	HS_mouse	Obesity	-0.417466044248332	6.2	4	2003	spring	8467200	0	99	M	18.5	chocolate	4	2
A048048117	HS_mouse	Obesity	-0.435258808042512	8.4	4	2003	spring	7862400	0	92	M	28.4	albino	2	1
A048048118	HS_mouse	Obesity	-0.473578198818586	6.9	4	2003	spring	7862400	0	92	F	22.1	dark.brown	5	1
A048049553	HS_mouse	Obesity	-0.520128419365071	7.7	4	2003	spring	7862400	0	92	F	21.1	light.brown	5	1
A048050779	HS_mouse	Obesity	-0.459478648751856	7.1	3	2003	spring	6048000	0	71	F	19.8	chocolate	4	3
A048050833	HS_mouse	Obesity	-0.425840071485707	7.5	3	2003	spring	3628800	0	43	M	26.7	black	4	2
A048051064	HS_mouse	Obesity	-0.494426112928133	8	5	2003	spring	9072000	0	106	M	25.4	black	5	3
A048051824	HS_mouse	Obesity	-0.447754180347157	8.1	1	2003	winter	0	0	1	M	29.9	chocolate	3	1
A048052595	HS_mouse	Obesity	-0.520622664976113	8	4	2003	spring	6652800	0	78	M	25.7	chocolate	4	2
A048053604	HS_mouse	Obesity	-0.559790828613109	7.5	2	2003	winter	2419200	0	29	F	20.4	black	4	1
A048053821	HS_mouse	Obesity	-0.55026497919738	7.7	1	2003	winter	0	0	1	F	19.2	chocolate	5	1
A048053860	HS_mouse	Obesity	-0.514995976601688	7.1	1	2003	winter	0	0	1	F	17.6	chocolate	7	1
A048054628	HS_mouse	Obesity	-0.289130772364273	6	3	2003	spring	5443200	0	64	F	23	black	4	1
A048054885	HS_mouse	Obesity	-0.457944943040542	8.3	2	2003	winter	1814400	0	22	F	28	light.brown	5	1
A048055081	HS_mouse	Obesity	-0.520979495248046	7.4	2	2003	winter	3024000	0	36	F	19.4	chocolate	5	2
A048055527	HS_mouse	Obesity	-0.444601846906226	7.7	1	2003	winter	-604800	0	-6	M	24.6	black	5	1
A048055545	HS_mouse	Obesity	-0.457004029624001	7.1	3	2003	spring	4838400	0	57	F	20.7	chocolate	4	3
A048055872	HS_mouse	Obesity	-0.407518745414182	7.6	5	2003	spring	9676800	0	113	M	NA	chocolate	6	1
A048056266	HS_mouse	Obesity	-0.338088035806025	7.2	5	2003	spring	9072000	0	106	M	26.5	black	3	2
A048056786	HS_mouse	Obesity	-0.558879923655098	7.8	3	2003	spring	5443200	0	64	F	20.4	black	3	2
A048057565	HS_mouse	Obesity	-0.366847280153625	6.4	4	2003	spring	8467200	0	99	F	18.1	light.brown	3	1
A048057587	HS_mouse	Obesity	-0.494556904822482	7.2	3	2003	spring	4838400	0	57	F	19.9	chocolate	4	1
A048057608	HS_mouse	Obesity	-0.379054664511664	7.5	3	2003	spring	4838400	0	57	M	28.4	chocolate	3	1
A048057823	HS_mouse	Obesity	-0.449847169853	7.2	1	2003	winter	0	0	1	M	23.1	chocolate	5	1
A048057883	HS_mouse	Obesity	-0.452356395148854	8.6	1	2003	winter	-604800	0	-6	M	30.8	chocolate	5	1
A048058059	HS_mouse	Obesity	-0.507481418656379	8.2	2	2003	winter	3024000	0	36	M	NA	black	4	2
A048058070	HS_mouse	Obesity	-0.442567676995773	7.7	3	2003	spring	4838400	0	57	M	26.9	chocolate	3	3
A048058769	HS_mouse	Obesity	-0.53316147860584	8.2	4	2003	spring	6652800	0	78	M	27.2	black	4	1
A048058856	HS_mouse	Obesity	-0.455162210758403	7.4	4	2003	spring	6652800	0	78	F	21.2	albino	6	1
A048058878	HS_mouse	Obesity	-0.482950798380386	7.5	2	2003	winter	1209600	0	15	F	19.9	light.brown	5	1
A048059097	HS_mouse	Obesity	-0.464305590198273	7.4	3	2003	spring	4233600	0	50	M	26.2	chocolate	4	1
A048059117	HS_mouse	Obesity	-0.429603016927375	8	3	2003	spring	4233600	0	50	M	30.5	chocolate	4	1
A048059602	HS_mouse	Obesity	-0.535278678735702	7.5	2	2003	winter	2419200	0	29	M	22.3	albino	5	2
A048059836	HS_mouse	Obesity	-0.498683936070674	8	2	2003	winter	2419200	0	29	F	23.8	chocolate	4	1
A048060314	HS_mouse	Obesity	-0.501696450903618	8.3	2	2003	winter	2419200	0	29	M	25.6	light.brown	5	2
A048061051	HS_mouse	Obesity	-0.427744990298084	7	3	2003	spring	4233600	0	50	M	25.8	albino	4	1
A048061341	HS_mouse	Obesity	-0.543728884253458	8	5	2003	spring	9072000	0	106	M	25.6	dark.brown	5	3
A048061513	HS_mouse	Obesity	-0.434152181326482	7.5	4	2003	spring	8467200	0	99	M	25.3	black	4	1
A048061517	HS_mouse	Obesity	-0.383815365980431	6.6	5	2003	spring	9072000	0	106	F	21	black	5	2
A048061864	HS_mouse	Obesity	-0.534878309745889	6.7	2	2003	winter	2419200	0	29	M	24.6	black	6	1
A048062325	HS_mouse	Obesity	-0.392445698128618	7.2	5	2003	spring	10281600	0	120	M	27.1	albino	4	1
A048063019	HS_mouse	Obesity	-0.485610408482059	7.4	3	2003	spring	4233600	0	50	F	NA	black	6	1
A048063276	HS_mouse	Obesity	-0.465735859143769	8	4	2003	spring	7862400	0	92	M	25.8	chocolate	4	6
A048063277	HS_mouse	Obesity	-0.480609582565484	7.5	5	2003	spring	9072000	0	106	F	19.6	black	5	2
A048063778	HS_mouse	Obesity	-0.544939635753784	6.7	2	2003	winter	1814400	0	22	F	16.9	dark.brown	6	2
A048064308	HS_mouse	Obesity	-0.440318606811914	6.3	5	2003	spring	9676800	0	113	F	15.9	light.brown	6	4
A048064620	HS_mouse	Obesity	-0.336524288955583	NA	5	2003	spring	9676800	0	113	F	16.3	albino	6	4
A048065035	HS_mouse	Obesity	-0.492443951914216	7.5	5	2003	spring	9072000	0	106	F	16.8	chocolate	6	1
A048066343	HS_mouse	Obesity	-0.584331224367531	7.2	2	2003	winter	2419200	0	29	M	20.7	chocolate	5	2
A048066372	HS_mouse	Obesity	-0.422408921506061	7.2	4	2003	spring	7862400	0	92	M	NA	chocolate	3	2
A048066594	HS_mouse	Obesity	-0.422672472108194	8.7	4	2003	spring	7862400	0	92	M	39.1	black	5	2
A048067278	HS_mouse	Obesity	-0.46462888456519	6.7	5	2003	spring	9072000	0	106	F	17.9	black	5	2
A048067524	HS_mouse	Obesity	-0.48546330196765	NA	4	2003	spring	8467200	0	99	M	19.6	albino	4	2
A048067529	HS_mouse	Obesity	-0.517708945241658	7.7	2	2003	winter	1814400	0	22	M	25	black	3	1
A048067791	HS_mouse	Obesity	-0.397940008672038	8	4	2003	spring	7862400	0	92	M	34.5	black	5	2
A048067802	HS_mouse	Obesity	-0.466574332255837	7.3	3	2003	spring	4838400	0	57	F	21.1	chocolate	4	1
A048067887	HS_mouse	Obesity	-0.411600357119053	6.7	5	2003	spring	9676800	0	113	F	19.9	albino	6	4
A048068026	HS_mouse	Obesity	-0.414103502272857	6.7	3	2003	spring	3628800	0	43	F	17.5	chocolate	6	2
A048068077	HS_mouse	Obesity	-0.512347598844462	7.8	4	2003	spring	6652800	0	78	F	21.6	black	6	1
A048068082	HS_mouse	Obesity	-0.440430784129315	6.6	4	2003	spring	8467200	0	99	M	21.6	chocolate	4	2
A048068368	HS_mouse	Obesity	-0.317647731659436	6.3	4	2003	spring	8467200	0	99	M	24.8	albino	4	1
A048069001	HS_mouse	Obesity	-0.389166084364532	7	4	2003	spring	6652800	0	78	M	27.2	silverado	4	1
A048069049	HS_mouse	Obesity	-0.394561116251239	6.3	3	2003	spring	4838400	0	57	F	19	chocolate	4	1
A048069514	HS_mouse	Obesity	-0.521738115650531	7.8	2	2003	winter	1209600	0	15	F	21.7	chocolate	3	1
A048069568	HS_mouse	Obesity	-0.485480249208574	8.9	2	2003	winter	1814400	0	22	M	31.2	light.brown	5	2
A048070376	HS_mouse	Obesity	-0.396664814226783	6.9	3	2003	spring	4233600	0	50	F	20.3	black	4	1
A048071106	HS_mouse	Obesity	-0.330166778293642	7.5	3	2003	spring	5443200	0	64	M	33.7	light.brown	5	4
A048071579	HS_mouse	Obesity	-0.525741238362966	7.9	4	2003	spring	7862400	0	92	F	21.1	dark.brown	5	1
A048072087	HS_mouse	Obesity	-0.53366880905375	8.1	3	2003	spring	5443200	0	64	F	21.2	black	4	3
A048072266	HS_mouse	Obesity	-0.502477388458579	7.2	1	2003	winter	-518400	0	-5	M	18.1	chocolate	6	1
A048072521	HS_mouse	Obesity	-0.580100947366703	7.4	5	2003	spring	9072000	0	106	F	16.6	chocolate	6	1
A048072595	HS_mouse	Obesity	-0.515302875475779	7.7	4	2003	spring	8467200	0	99	F	17.3	chocolate	4	1
A048073291	HS_mouse	Obesity	-0.359289799214893	7.3	4	2003	spring	6652800	0	78	M	25.2	black	4	1
A048073606	HS_mouse	Obesity	NA	6.5	3	2003	spring	4838400	0	57	M	30.7	chocolate	3	1
A048073633	HS_mouse	Obesity	-0.554222874374166	7.5	2	2003	winter	3024000	0	36	F	18.8	black	3	1
A048074553	HS_mouse	Obesity	-0.35701259246669	5.9	3	2003	spring	6048000	0	71	M	25.2	chocolate	5	1
A048075265	HS_mouse	Obesity	-0.410526453071497	6.9	3	2003	spring	5443200	0	64	F	20	black	4	3
A048075614	HS_mouse	Obesity	-0.471576300542356	6.3	3	2003	spring	4838400	0	57	F	16.3	chocolate	4	1
A048076630	HS_mouse	Obesity	-0.382226532946932	7.2	3	2003	spring	6048000	0	71	M	26.7	black	4	3
A048076855	HS_mouse	Obesity	-0.481133052426762	7.3	5	2003	spring	9676800	0	113	F	17	chocolate	6	4
A048077032	HS_mouse	Obesity	-0.475107896469829	7.9	1	2003	winter	604800	0	8	M	27.3	black	4	1
A048078862	HS_mouse	Obesity	-0.495690821406301	7.1	3	2003	spring	5443200	0	64	F	18.7	black	4	3
A048079075	HS_mouse	Obesity	-0.357757620112908	7	4	2003	spring	6652800	0	78	M	27.1	black	4	1
A048079842	HS_mouse	Obesity	-0.522503811595707	8.1	1	2003	winter	0	0	1	M	19.5	chocolate	2	1
A048080339	HS_mouse	Obesity	-0.528916700277655	7.8	2	2003	winter	3024000	0	36	M	24	black	4	2
A048080582	HS_mouse	Obesity	-0.466988250530602	7.1	5	2003	spring	10281600	0	120	F	20.2	albino	6	1
A048081308	HS_mouse	Obesity	-0.522525737584987	7.3	4	2003	spring	8467200	0	99	F	18.6	black	5	2
A048081321	HS_mouse	Obesity	-0.479283837123965	7.9	2	2003	winter	1209600	0	15	M	NA	chocolate	7	1
A048082329	HS_mouse	Obesity	-0.498588992319352	7.9	2	2003	winter	2419200	0	29	M	21.6	light.brown	5	2
A048082363	HS_mouse	Obesity	-0.522525737584987	7.3	3	2003	spring	6048000	0	71	F	19.9	dark.brown	4	2
A048082370	HS_mouse	Obesity	-0.372761754055997	6.8	3	2003	spring	4838400	0	57	M	25	sand	3	1
A048083047	HS_mouse	Obesity	-0.52013166685422	8.2	4	2003	spring	6652800	0	78	M	27.5	black	4	1
A048083517	HS_mouse	Obesity	-0.563466435802333	7.7	2	2003	winter	2419200	0	29	M	21	albino	5	2
A048083604	HS_mouse	Obesity	-0.485336128971254	7.8	1	2003	winter	604800	0	8	M	26	dark.brown	4	1
A048084065	HS_mouse	Obesity	-0.491538993074091	7	3	2003	spring	4838400	0	57	F	19.3	chocolate	4	1
A048084549	HS_mouse	Obesity	-0.551465439828977	7.5	3	2003	spring	6048000	0	71	F	18.4	black	4	2
A048084845	HS_mouse	Obesity	-0.527426373031058	8	5	2003	spring	9072000	0	106	M	NA	silverado	3	1
A048084850	HS_mouse	Obesity	-0.454340818771717	8.3	2	2003	winter	1209600	0	15	M	26.7	black	7	1
A048085283	HS_mouse	Obesity	-0.522235822169727	7.5	3	2003	spring	4838400	0	57	F	17.2	silverado	4	3
A048085379	HS_mouse	Obesity	-0.403769552332761	7.5	5	2003	spring	10281600	0	120	M	22.3	chocolate	4	1
A048086093	HS_mouse	Obesity	-0.479041094520088	6.9	4	2003	spring	8467200	0	99	F	17.6	chocolate	3	3
A048086277	HS_mouse	Obesity	-0.480609582565484	7.5	4	2003	spring	8467200	0	99	M	25.9	silverado	4	1
A048086633	HS_mouse	Obesity	-0.506354679458277	7.6	3	2003	spring	3628800	0	43	F	NA	chocolate	5	1
A048086793	HS_mouse	Obesity	-0.471291711058939	7.4	4	2003	spring	8467200	0	99	F	19.5	chocolate	4	1
A048086841	HS_mouse	Obesity	-0.522878745280338	8	1	2003	winter	604800	0	8	F	21.4	dark.brown	6	1
A048086882	HS_mouse	Obesity	-0.392140872466737	6.9	4	2003	spring	8467200	0	99	M	NA	dark.brown	4	1
A048087831	HS_mouse	Obesity	-0.5095732785008	7.5	4	2003	spring	6652800	0	78	F	20.8	black	5	1
A048088520	HS_mouse	Obesity	-0.417015552815013	7.3	4	2003	spring	8467200	0	99	M	26.1	silverado	3	1
A048089538	HS_mouse	Obesity	-0.45719996963636	7	3	2003	spring	3628800	0	43	F	20.6	light.brown	5	3
A048090850	HS_mouse	Obesity	-0.571596140250238	6.8	2	2003	winter	1814400	0	22	F	16	chocolate	7	1
A048092264	HS_mouse	Obesity	-0.502149260421593	7.5	1	2003	winter	604800	0	8	F	19.3	black	6	1
A048092534	HS_mouse	Obesity	-0.436521716496434	7.7	5	2003	spring	9676800	0	113	M	21.2	black	6	1
A048092536	HS_mouse	Obesity	-0.448901208130244	7.9	2	2003	winter	3024000	0	36	M	26.4	albino	4	2
A048093042	HS_mouse	Obesity	-0.389166084364532	7	4	2003	spring	7862400	0	92	M	22.8	chocolate	5	2
A048093342	HS_mouse	Obesity	-0.597178783389159	8.2	5	2003	spring	9676800	0	113	F	18.5	black	6	3
A048093528	HS_mouse	Obesity	-0.369911285071794	7.5	3	2003	spring	6048000	0	71	M	30.5	black	4	3
A048093590	HS_mouse	Obesity	-0.547672168619101	7.7	1	2003	winter	0	0	1	F	NA	chocolate	4	1
A048094060	HS_mouse	Obesity	-0.556384004845954	7.3	2	2003	winter	2419200	0	29	F	18.3	dark.brown	4	2
A048094368	HS_mouse	Obesity	-0.400069447374857	7.7	3	2003	spring	4838400	0	57	M	27.3	chocolate	7	3
A048094867	HS_mouse	Obesity	-0.393058800733235	8.2	4	2003	spring	7862400	0	92	M	31.3	light.brown	2	1
A048096119	HS_mouse	Obesity	-0.407699845961194	7.5	4	2003	spring	6652800	0	78	M	27.1	chocolate	4	2
A048096523	HS_mouse	Obesity	-0.511820323823396	8.3	1	2003	winter	-518400	0	-5	F	23.2	dark.brown	2	1
A048097274	HS_mouse	Obesity	-0.517126416391246	7.5	2	2003	winter	2419200	0	29	M	19.6	albino	5	2
A048098560	HS_mouse	Obesity	-0.468218859924043	7.8	1	2003	winter	-518400	0	-5	F	22.8	chocolate	3	1
A048098584	HS_mouse	Obesity	-0.508589833094423	8.5	5	2003	spring	9676800	0	113	M	28.5	albino	4	1
A048098608	HS_mouse	Obesity	-0.482950798380386	7.5	2	2003	winter	1209600	0	15	F	20.6	chocolate	7	1
A048098790	HS_mouse	Obesity	-0.466621832925453	7.4	3	2003	spring	4233600	0	50	F	19.5	dark.brown	4	1
A048098815	HS_mouse	Obesity	-0.516114516747433	7.6	5	2003	spring	9072000	0	106	F	18.9	black	5	2
A048100854	HS_mouse	Obesity	-0.455242201739707	8.1	2	2003	winter	2419200	0	29	M	28.2	chocolate	5	2
A048101022	HS_mouse	Obesity	-0.485336128971254	7.8	3	2003	spring	5443200	0	64	F	23.4	black	4	3
A048101354	HS_mouse	Obesity	-0.572182928943144	7.1	2	2003	winter	2419200	0	29	M	25.8	black	6	1
A048101850	HS_mouse	Obesity	-0.452487870977232	7.3	3	2003	spring	4233600	0	50	F	20.7	black	4	1
A048102058	HS_mouse	Obesity	-0.394271263535564	7.6	2	2003	winter	1209600	0	15	M	29	black	3	1
A048102062	HS_mouse	Obesity	-0.339916646852433	7.2	3	2003	spring	5443200	0	64	M	30.1	black	4	2
A048102284	HS_mouse	Obesity	-0.387878682664142	8	3	2003	spring	5443200	0	64	M	31.2	light.brown	5	4
A048102298	HS_mouse	Obesity	-0.424630381500019	7.2	3	2003	spring	4233600	0	50	M	25	light.brown	4	3
A048102326	HS_mouse	Obesity	-0.40944466645022	7.6	3	2003	spring	4838400	0	57	M	28.6	dark.brown	3	3
A048102344	HS_mouse	Obesity	-0.526275835057995	7.4	1	2003	winter	604800	0	8	F	19.8	dark.brown	6	1
A048102371	HS_mouse	Obesity	-0.385277465003111	6.5	3	2003	spring	4233600	0	50	F	NA	black	6	1
A048102636	HS_mouse	Obesity	-0.380528592461499	7.4	3	2003	spring	5443200	0	64	M	29.6	light.brown	4	3
A048102840	HS_mouse	Obesity	-0.446926469362911	7.5	5	2003	spring	10281600	0	120	M	26.1	chocolate	4	1
A048103552	HS_mouse	Obesity	-0.374237358222853	7.6	5	2003	spring	9676800	0	113	M	25	light.brown	5	1
A048104055	HS_mouse	Obesity	-0.531637563430103	7.4	1	2003	winter	0	0	1	F	18.9	dark.brown	4	1
A048104802	HS_mouse	Obesity	-0.436521716496434	7.7	3	2003	spring	6048000	0	71	M	NA	black	4	3
A048105840	HS_mouse	Obesity	-0.458191949380623	6.8	3	2003	spring	3628800	0	43	F	18.6	chocolate	5	1
A048106824	HS_mouse	Obesity	-0.551193094988807	7.8	3	2003	spring	5443200	0	64	F	22.3	chocolate	4	1
A048107106	HS_mouse	Obesity	-0.372975454571053	7.4	3	2003	spring	5443200	0	64	M	29.1	chocolate	4	2
A048107550	HS_mouse	Obesity	-0.41581191645283	7.2	3	2003	spring	4838400	0	57	M	NA	chocolate	7	3
A048108281	HS_mouse	Obesity	-0.303607418551792	6.5	3	2003	spring	5443200	0	64	M	26.4	chocolate	3	5
A048108327	HS_mouse	Obesity	-0.435911391909708	7.2	3	2003	spring	3628800	0	43	F	20.3	black	6	2
A048109049	HS_mouse	Obesity	-0.43549501511542	6.5	3	2003	spring	4233600	0	50	M	22.1	dark.brown	4	1
A048109836	HS_mouse	Obesity	-0.459709838509124	7.4	3	2003	spring	4233600	0	50	M	23.4	albino	4	1
A048111053	HS_mouse	Obesity	-0.46763008089834	7.7	2	2003	winter	3024000	0	36	M	25	black	4	2
A048111353	HS_mouse	Obesity	-0.486033687872833	8	3	2003	spring	4233600	0	50	M	27.9	albino	4	1
A048111516	HS_mouse	Obesity	-0.511989402850212	6.4	4	2003	spring	8467200	0	99	F	15.7	albino	5	2
A048111540	HS_mouse	Obesity	-0.566314578215649	8.3	3	2003	spring	6048000	0	71	F	21.7	light.brown	4	2
A048111820	HS_mouse	Obesity	-0.454810067740765	7.9	1	2003	winter	-604800	0	-6	M	26.1	chocolate	5	1
A048111832	HS_mouse	Obesity	-0.489680221641414	7.7	2	2003	winter	1209600	0	15	M	20.2	chocolate	7	1
A048111851	HS_mouse	Obesity	-0.438368665727646	7.5	5	2003	spring	9072000	0	106	F	23.9	black	5	2
A048112554	HS_mouse	Obesity	NA	7.7	4	2003	spring	6652800	0	78	F	16.6	silverado	4	1
A048112845	HS_mouse	Obesity	-0.549439580157625	7.6	5	2003	spring	9072000	0	106	F	19.6	albino	5	2
A048113040	HS_mouse	Obesity	-0.493006750656912	6.9	4	2003	spring	7862400	0	92	F	20.3	dark.brown	5	1
A048113527	HS_mouse	Obesity	-0.5095732785008	7.5	3	2003	spring	5443200	0	64	F	20.4	black	4	3
A048114022	HS_mouse	Obesity	-0.458191949380623	6.8	3	2003	spring	6048000	0	71	F	20.2	chocolate	4	2
A048114371	HS_mouse	Obesity	-0.54329665075155	7.5	4	2003	spring	6652800	0	78	F	21.1	black	4	1
A048114639	HS_mouse	Obesity	-0.450183916067668	7.3	5	2003	spring	9676800	0	113	F	20.9	albino	6	3
A048114787	HS_mouse	Obesity	-0.469371113205107	7.6	4	2003	spring	7862400	0	92	F	21.9	black	3	4
