IID	cage
A053627872	32G
A053812366	32G
A052619562	32H
A052842597	32H
A053023380	32H
A062882785	32H
A062884359	32H
A063265806	33A
A063354863	33A
A063379267	33A
A063382002	33A
A063369287	33B
A063514274	33B
A063537035	33B
A063544780	33B
A063263078	33C
A063345052	33C
A063346080	33C
A063355515	33C
A063543622	33C
A063554885	33C
A063523258	33D
A063534561	33D
A063009106	33E
A063119632	33E
A063345573	33E
A063375825	33E
A063362018	33F
A063370794	33F
A063522597	33F
A063527798	33F
A063003538	33G
A063357298	33G
A063383006	33G
A063512847	33G
A063550052	33G
A063557873	33G
A063536564	33H
A063550874	33H
A063012272	34A
A063261299	34A
A063373083	34A
A063537072	34A
A063347594	34B
A063362599	34B
A063379372	34B
A063527011	34B
A063010002	34C
A063527856	34C
A063542866	34C
A063555877	34C
A063361614	34D
A063523616	34D
A063534369	34D
A063541831	34D
A063557808	34D
A063014029	34E
A063272043	34E
A063532029	34E
A063554583	34E
A063345585	34F
A063375075	34F
A063382564	34F
A063538058	34F
A063009019	34G
A063266522	34G
A063357294	34G
A063368577	34G
A063523543	34G
A063524613	34G
A063546594	34G
A063125536	35A
A063362614	35A
A063548317	35A
A063119082	35B
A063350277	35B
A063365378	35B
A063542860	35B
A063543090	35B
A063127584	35C
A063265108	35C
A063265847	35C
A063260315	35D
A063357846	35D
A063359003	35D
A063369379	35D
A063383025	35D
A063374804	35E
A063523330	35E
A063529600	35E
A063545009	35E
A063360567	35F
A063383622	35F
A063540304	35F
A063541614	35F
A063371614	35G
A063379275	35G
A063525270	35G
A063553009	35G
A063368573	35H
A063812869	35H
A063837379	35H
A067311866	35H
A063768029	36A
A064004123	36A
A063841601	36B
A064001839	36B
A064010366	36B
A063612068	36C
A063894847	36C
A064034866	36C
A064082565	36C
A063611258	36D
A063878032	36D
A064008513	36D
A064037307	36D
A064098105	36D
A067320841	36D
A063572633	36E
A063771357	36E
A063797783	36E
A064017802	36E
A064091789	36E
A066886589	36E
A063567352	36F
A063622326	36F
A063775561	36F
A064024839	36F
A064041634	36F
A064080116	36F
A063580838	36G
A063605367	36G
A064012882	36G
A064043531	36G
A063575272	37A
A063788521	37A
A063828638	37A
A063888627	37A
A063609335	37B
A063815560	37B
A064018597	37B
A064019568	37B
A063570285	37C
A063611041	37C
A066867291	37C
A063610516	37D
A064009012	37D
A064078810	37D
A066800554	37D
A066822351	37D
A063620055	37E
A064003520	37E
A064028336	37E
A066852564	37E
A063610561	37F
A063835873	37F
A063893371	37F
A064030599	37F
A063605525	37G
A063618271	37G
A064287769	37G
A063583848	37H
A063619287	37H
A063790772	37H
A063895000	37H
A064066630	37H
A063604816	38A
A063813601	38A
A063837548	38A
A066851796	38A
A063568001	38B
A064018072	38B
A064088625	38B
A064768831	38B
A063811098	38C
A066853869	38C
A066862073	38C
A067104348	38C
A066837877	38D
A067079009	38D
A067118882	38D
A067013857	38E
A067033821	38E
A067080581	38E
A067310562	38E
A064086340	38F
A067076869	38F
A067088817	38F
A067284103	38F
A063855575	38G
A067298634	38G
A067303857	38G
A063778259	38H
A066812367	38H
A066859097	38H
A067060370	38H
A067107069	38H
A067041379	39A
A067095101	39A
A067299835	39A
A063787304	39B
A064087615	39B
A064087792	39B
A067018569	39B
A067026625	39C
A067043601	39C
A067054621	39C
A063855321	39D
A066853855	39D
A067019281	39D
A067023796	39D
A067291818	39D
A063858113	39E
A067057327	39E
A067107007	39E
A067118890	39E
A067306573	39E
A063630059	39F
A066788121	39F
A066822355	39F
A067089542	39F
A067116848	39F
A067259618	39F
A063857039	39G
A066819768	39G
A066860558	39G
A066871529	39G
A067063876	39G
A048055527	3A
A048057786	3A
A048057883	3A
A048058569	3A
A048109636	3A
A048276812	3A
A048053548	3B
A048063584	3B
A048072579	3B
A048111820	3B
A048287075	3B
A048032099	3C
A048049789	3C
A048114828	3C
A048283368	3C
A048305265	3C
A048048849	3D
A048060348	3D
A048068623	3D
A048076355	3D
A048010273	3E
A048033097	3E
A048041122	3E
A048072266	3E
A048085090	3E
A048099359	3E
A048082813	3F
A048098560	3F
A048273850	3F
A048096523	3G
A048274011	3G
A064096779	40A
A066786789	40A
A067043604	40A
A067082791	40A
A067113538	40A
A067294326	40A
A063613818	40B
A064092094	40B
A066790264	40B
A066889358	40B
A067109771	40B
A063856573	40C
A063882361	40C
A066840813	40C
A066888090	40C
A067038341	40C
A063810348	40D
A063852837	40D
A066872821	40D
A067073289	40D
A064044576	40E
A067279373	40E
A067298816	40E
A063808520	40F
A063861871	40F
A064097308	40F
A067041079	40F
A067117351	40F
A064099635	40G
A066826851	40G
A063888574	41A
A067010543	41A
A067085307	41A
A067099022	41A
A067001514	41B
A067031089	41B
A067302081	41B
A067305352	41B
A064086849	41C
A066892518	41C
A067025100	41C
A064038309	41D
A066892790	41D
A066892811	41D
A067012324	41D
A067310570	41D
A066801016	41E
A066803325	41E
A067017877	41E
A067063288	41E
A063860589	41F
A064032352	41F
A064096588	41F
A066886537	41F
A067006527	41F
A067303587	41F
A066789843	41G
A066887568	41G
A066891591	41G
A067096604	41G
A067109370	41G
A067118074	41G
A064086019	42A
A067005820	42A
A067025536	42A
A067081584	42A
A063802835	42B
A066808025	42B
A066822099	42B
A066853355	42B
A066891127	42B
A067040812	42B
A063860035	42C
A066871358	42C
A067014002	42C
A067026336	42C
A067032313	42C
A067284590	42C
A066818853	42D
A067099783	42D
A067122316	42D
A067266284	42D
A064099360	42E
A067056015	42E
A067086003	42E
A067284277	42E
A067284545	42E
A067294370	42E
A067306375	42E
A066889543	42F
A066890083	42F
A067011548	42F
A067295564	42F
A067304848	42F
A064092602	43A
A067076805	43A
A067093029	43A
A067102068	43A
A063802870	43B
A063888055	43B
A066791575	43B
A066889855	43B
A067001023	43B
A067306626	43B
A063806359	43C
A064087605	43C
A066883637	43C
A067301776	43C
A067304885	43C
A064093534	43D
A067044814	43D
A067089584	43D
A063792845	43E
A066790379	43E
A067059891	43E
A067299070	43E
A067303053	43E
A066891006	43F
A067098057	43F
A067305333	43F
A064091868	43G
A064270063	43G
A066794637	43G
A066841537	43G
A067091318	43G
A066807555	44A
A067019015	44A
A067026279	44A
A067305066	44A
A063781526	44B
A067277521	44B
A067289112	44B
A067301357	44B
A067094126	44C
A067095773	44C
A067292638	44C
A067296597	44C
A066858527	44D
A067004564	44D
A067088050	44D
A064043066	44E
A066790801	44E
A067092122	44E
A067118871	44E
A064086787	44F
A066887785	44F
A066893263	44F
A067056273	44F
A067107590	44F
A067293358	44F
A063569370	44G
A064036005	44G
A066837052	44G
A066861069	44G
A067098362	44G
A067307307	44G
A066814105	45A
A067007042	45A
A067035068	45A
A067079310	45A
A067099043	45A
A067301560	45A
A066785632	45B
A066857770	45B
A067044113	45B
A067098816	45B
A067117026	45B
A066837829	45C
A067001512	45C
A067018865	45C
A067039304	45C
A067304073	45C
A066859275	45D
A067035294	45D
A067068127	45D
A067115563	45D
A063802607	45E
A063807887	45E
A063858827	45E
A066789044	45E
A067068515	45E
A067299810	45E
A064034620	45F
A066825097	45F
A066893123	45F
A067012781	45F
A067083019	45F
A067127052	45F
A064100034	46A
A067059802	46A
A067061808	46A
A067120600	46A
A063866069	46B
A066882524	46B
A067012124	46B
A067058793	46B
A067027301	46C
A067121382	46C
A067257074	46C
A063807802	46D
A064100052	46D
A066842374	46D
A067091793	46D
A063867312	46E
A067042073	46E
A067089597	46E
A067103887	46E
A064089809	46F
A067006019	46F
A067028317	46F
A067028847	46F
A067043528	46F
A067304542	46F
A066805306	46G
A067034065	46G
A067052379	46G
A067098017	46G
A067259785	46G
A067306376	46G
A064038554	47A
A067256822	47A
A067309323	47A
A063632293	47B
A066861843	47B
A066894353	47B
A067054841	47B
A067113811	47B
A067117838	47B
A067117882	47B
A064038096	47C
A066809562	47C
A066892533	47C
A067014773	47C
A067290788	47C
A067306338	47C
A066837307	47D
A067097608	47D
A067106356	47D
A067114278	47D
A067019627	47E
A067100524	47E
A067103315	47E
A067121769	47E
A063855885	47F
A066792597	47F
A066805368	47F
A067063313	47F
A063855559	47G
A064038874	47G
A066785836	47G
A067025868	47G
A067030853	48A
A067078777	48A
A067089522	48A
A067094078	48A
A066832891	48B
A067087359	48B
A067089071	48B
A067260382	48B
A063808624	48C
A063847121	48C
A064033524	48C
A067079792	48C
A067092301	48C
A067302541	48C
A066801375	48D
A067011052	48D
A067058613	48D
A067277793	48D
A063804009	48E
A063871632	48E
A064099868	48E
A067257117	48E
A067289378	48E
A063860103	48F
A067015784	48F
A067034293	48F
A067084043	48F
A067277806	48F
A063119340	49A
A063543379	49A
A063859291	49A
A066821828	49A
A063337633	49B
A063377778	49B
A063544829	49B
A064091372	49B
A066817873	49C
A066844305	49C
A067096018	49C
A063636061	49D
A063854023	49D
A066808110	49D
A066824834	49D
A067291774	49D
A064575795	49E
A066846295	49E
A066893338	49E
A067081094	49E
A066819046	49F
A066862514	49F
A066892091	49F
A067292874	49F
A063861603	49G
A066790098	49G
A067092870	49G
A067305543	49G
A063860779	49H
A067026294	49H
A067121332	49H
A067309299	49H
A048012562	4A
A048029519	4A
A048063259	4A
A048088368	4A
A048115586	4A
A048272272	4A
A048046034	4B
A048057823	4B
A048057856	4B
A048258842	4B
A048288269	4B
A048051824	4C
A048067345	4C
A048280355	4C
A048079842	4D
A048285516	4D
A048044830	4E
A048048863	4E
A048053860	4E
A048056065	4E
A048059861	4E
A048069613	4E
A048300377	4E
A048031004	4F
A048031794	4F
A048048837	4F
A048053821	4F
A048111536	4F
A048047120	4G
A048093590	4G
A048104055	4G
A048284323	4G
A063269306	50A
A063350378	50A
A063528111	50A
A063531029	50A
A063267846	50B
A063377119	50B
A063526602	50B
A063538341	50B
A063004820	50C
A063271372	50C
A063551600	50C
A062882891	50D
A063268335	50D
A063360058	50D
A063375363	50D
A063551344	50D
A063261563	50E
A063372587	50E
A063374358	50E
A063546518	50E
A063269056	50F
A063272099	50F
A063376082	50F
A063525626	50F
A063538623	50F
A063120277	50G
A063120574	50G
A063124801	50G
A063360630	50G
A063379048	50G
A063530621	50G
A063009115	52A
A063259066	52A
A063373769	52A
A063808790	52B
A067019829	52B
A067115587	52B
A067290795	52B
A067292795	52B
A063268860	52C
A063311623	52C
A063341535	52C
A063371349	52C
A063513517	52C
A063532060	52C
A063259583	52D
A063312102	52D
A063336008	52D
A063555126	52D
A066860873	52D
A067301793	52D
A066809799	52E
A066880257	52E
A067033024	52E
A067296859	52E
A063791068	52F
A064033059	52F
A066860531	52F
A067109611	52F
A063630303	54A
A066822863	54A
A066891298	54A
A067042331	54A
A067281559	54A
A067302041	54A
A063853635	54B
A067028352	54B
A067054794	54B
A067056291	54B
A067111287	54B
A063632875	54C
A066785298	54C
A067001120	54C
A067052871	54C
A067116556	54C
A066817813	54D
A066820593	54D
A066872103	54D
A067296011	54D
A063630607	54E
A067025880	54E
A067115002	54E
A067300869	54E
A063615105	54F
A063773074	54F
A067086264	54F
A063581560	54G
A064052293	54G
A064083527	54G
A066802555	54G
A067311005	54G
A063575518	55A
A064003628	55A
A064071530	55A
A064084004	55A
A063829572	55B
A063837274	55B
A064010381	55B
A064012291	55B
A064063789	55B
A064092816	55B
A063860051	55C
A064060295	55C
A064063846	55C
A064070807	55C
A066822063	55C
A063609043	55D
A063769029	55D
A063834829	55D
A064018874	55D
A064064260	55D
A063578768	55E
A063614621	55E
A063836639	55E
A063895878	55E
A063577024	55F
A063577627	55F
A064016636	55F
A064065775	55F
A063611105	55G
A063812098	55G
A064054577	55G
A067306302	55G
A063842855	56A
A064002788	56A
A064029073	56A
A064045267	56A
A063609073	56B
A064036871	56B
A064053013	56B
A064075846	56B
A064077266	56B
A067276121	56B
A063001812	56C
A063010041	56C
A063356301	56C
A063380380	56C
A063551894	56C
A063832587	56C
A063014123	56D
A063379804	56D
A063551337	56D
A063557573	56D
A063311071	56E
A063339889	56E
A063350516	56E
A063374271	56E
A063514300	56E
A063538364	56E
A063264860	56F
A063312867	56F
A063381020	56F
A063526548	56F
A063555095	56F
A063557365	56F
A063263382	57A
A063336815	57A
A063516577	57A
A067309526	57A
A063541051	57B
A063621256	57B
A063837833	57B
A063842319	57B
A064035829	57B
A064064564	57B
A063626582	57C
A063632089	57C
A064020024	57C
A064033626	57C
A064076804	57C
A067281259	57C
A063854770	57D
A064048589	57D
A064060121	57D
A066851861	57D
A063577574	57E
A064006620	57E
A064093789	57E
A067276783	57E
A063773299	57F
A064079095	57F
A066822834	57F
A067316112	57F
A063814864	57G
A063825775	57G
A063894786	57G
A064036879	57G
A063584892	58A
A063772894	58A
A063820850	58A
A067320889	58A
A063614623	58B
A063621336	58B
A063873529	58B
A064046862	58B
A063604607	58C
A063617566	58C
A063619116	58C
A064029060	58C
A067311317	58C
A063801090	58D
A064051078	58D
A064537581	58D
A063832352	58E
A064050282	58E
A064082263	58E
A064097296	58E
A063612603	58F
A063779838	58F
A063838121	58F
A063879111	58F
A064049795	58F
A064095000	58F
A063614772	58G
A063800843	58G
A064010088	58G
A064021862	58G
A064026354	58G
A064040310	58G
A063573555	59A
A063608034	59A
A063813024	59A
A063838593	59A
A063610105	59B
A063613839	59B
A063832855	59B
A063839061	59B
A063615826	59C
A063773367	59C
A064020036	59C
A066851355	59C
A063599376	59D
A063612773	59D
A063823828	59D
A064014380	59D
A063790079	59E
A063892782	59E
A064048875	59E
A067268806	59E
A063772352	59F
A064041528	59F
A064069267	59F
A067308813	59F
A063789782	59G
A063816580	59G
A064069120	59G
A067316100	59G
A063611301	59H
A063772262	59H
A063844091	59H
A064058582	59H
A048077032	5A
A048083604	5A
A048101591	5A
A048260616	5A
A048023581	5B
A048030529	5B
A048031769	5B
A048041284	5B
A048097028	5B
A048100042	5B
A048101015	5C
A048274371	5C
A048277802	5C
A048286078	5C
A048300546	5C
A048301890	5C
A048028369	5D
A048086841	5D
A048101523	5D
A048102344	5D
A048279086	5D
A048280365	5D
A048034381	5E
A048039828	5E
A048092264	5E
A048111518	5E
A048119277	5E
A048276791	5E
A048036311	5F
A048111571	5F
A048114607	5F
A048258030	5F
A063613325	60A
A063625788	60A
A063865861	60A
A064048817	60A
A064061349	60A
A066827781	60A
A063578568	60B
A063637123	60B
A064017019	60B
A064056577	60B
A064061014	60B
A066868872	60B
A063578615	60C
A063605347	60C
A063818533	60C
A063798598	60D
A063870525	60D
A064052862	60D
A067273277	60D
A067276309	60D
A067278534	60D
A063777011	60E
A063840895	60E
A063878111	60E
A063878863	60E
A064008029	60E
A064096096	60E
A063782374	60F
A063894836	60F
A064056094	60F
A066881888	60F
A063634356	61A
A064058052	61A
A064093317	61A
A066857850	61A
A066866635	61A
A067320280	61A
A063619274	61B
A063769768	61B
A063893087	61B
A064048791	61B
A063571604	61C
A063575559	61C
A064040516	61C
A064089073	61C
A063573561	61D
A063608810	61D
A063623288	61D
A063770090	61D
A064083035	61D
A067275045	61D
A063605029	61E
A063784615	61E
A064021773	61E
A063823801	61F
A064035552	61F
A064049287	61F
A066856381	61F
A063568565	62A
A063623891	62A
A063891834	62A
A066880843	62A
A063562293	62B
A063638031	62B
A063790268	62B
A063822811	62B
A064005775	62B
A063610310	62C
A064021513	62C
A064027801	62C
A066828799	62C
A063604368	62D
A063800540	62D
A063821291	62D
A064017081	62D
A064058773	62D
A066882048	62D
A063618351	62E
A063638108	62E
A064002882	62E
A067271542	62E
A064003784	62F
A066825315	62F
A066856049	62F
A066885108	62F
A067307590	62F
A063769277	63A
A063777532	63A
A063793601	63A
A064003018	63A
A064014880	63A
A063619860	63B
A064004534	63B
A064022833	63B
A067285354	63B
A067317335	63B
A063614105	63C
A064079264	63C
A067285801	63C
A063575342	63D
A063604338	63D
A063604629	63D
A063876111	63D
A066886776	63D
A064005323	63E
A064027312	63E
A064039256	63E
A064060854	63E
A064080021	63E
A064096847	63E
A063798078	63F
A064100014	63F
A066853001	63F
A063338625	64A
A063344541	64A
A063518610	64A
A063522546	64A
A063014272	64B
A063521838	64B
A063545824	64B
A063551076	64B
A062893089	64C
A063338541	64C
A063362286	64C
A063540827	64C
A063011268	64D
A063373814	64D
A063551369	64D
A063552325	64D
A063266615	64E
A063349069	64E
A063359884	64E
A063369578	64E
A063383513	64E
